uid,offence,date_start,date_end
10313960,theft from motor vehicle,2016-01-02 12:30,2016-01-02 13:00
10314004,theft of motor vehicle,2016-01-02 12:30,2016-01-02 15:20
10314079,theft of motor vehicle,2016-01-02 15:20,2016-01-02 15:20
10314083,theft from motor vehicle,2016-01-02 15:20,2016-01-02 15:26
10314089,theft of motor vehicle,2016-01-01 10:00,2016-01-03 21:00
10314104,theft from motor vehicle,2016-01-02 15:30,2016-01-02 16:00
10314114,theft of motor vehicle,2016-01-02 15:45,2016-01-02 15:55
10314122,theft from motor vehicle,2016-01-01 10:00,2016-01-03 22:00
10314147,theft from motor vehicle,2016-01-02 16:00,2016-01-02 17:30
10314207,theft from motor vehicle,2016-01-02 16:00,2016-01-02 20:00
10314246,theft of motor vehicle,2016-01-01 19:00,2016-01-03 18:30
10314311,theft of motor vehicle,2016-01-02 18:00,2016-01-02 22:00
10314313,theft from motor vehicle,2016-01-02 07:00,2016-01-03 09:00
10314359,theft from motor vehicle,2016-01-02 09:00,2016-01-03 09:00
10314393,theft from motor vehicle,2016-01-02 20:00,2016-01-02 23:00
10314399,theft from motor vehicle,2016-01-02 21:10,2016-01-02 22:00
10314408,theft from motor vehicle,2016-01-02 21:30,2016-01-02 22:00
10314414,theft from motor vehicle,2016-01-02 21:25,2016-01-02 22:15
10314424,theft from motor vehicle,2016-01-01 12:00,2016-01-04 08:00
10314435,theft from motor vehicle,2016-01-02 22:10,2016-01-02 22:15
10314439,theft from motor vehicle,2016-01-02 21:47,2016-01-02 22:43
10314449,theft of motor vehicle,2016-01-02 20:30,2016-01-03 00:30
10314474,theft from motor vehicle,2016-01-02 19:30,2016-01-03 02:25
10314479,theft of motor vehicle,2016-01-01 08:00,2016-01-04 14:00
10314517,theft from motor vehicle,2016-01-01 21:00,2016-01-04 02:25
10314518,theft of motor vehicle,2016-01-02 23:40,2016-01-02 23:45
10314535,theft of motor vehicle,2016-01-01 16:00,2016-01-04 08:00
10314550,theft from motor vehicle,2016-01-02 14:00,2016-01-03 10:40
10314552,theft from motor vehicle,2016-01-01 11:00,2016-01-04 13:45
10314554,theft from motor vehicle,2016-01-02 01:00,2016-01-03 23:50
10314559,theft of motor vehicle,2016-01-02 16:00,2016-01-03 09:00
10314570,theft of motor vehicle,2016-01-03 00:40,2016-01-03 01:13
10314574,theft from motor vehicle,2016-01-01 13:00,2016-01-04 13:00
10314577,theft from motor vehicle,2016-01-02 22:00,2016-01-03 04:00
10314586,theft of motor vehicle,2016-01-02 18:30,2016-01-03 08:00
10314623,theft from motor vehicle,2016-01-02 18:30,2016-01-03 10:00
10314629,theft from motor vehicle,2016-01-02 22:00,2016-01-03 06:45
10314639,theft from motor vehicle,2016-01-02 20:00,2016-01-03 09:00
10314640,theft from motor vehicle,2016-01-02 19:30,2016-01-03 09:30
10314657,theft from motor vehicle,2016-01-02 23:00,2016-01-03 07:00
10314679,theft from motor vehicle,2016-01-03 01:00,2016-01-03 06:00
10314694,theft from motor vehicle,2016-01-03 00:05,2016-01-03 07:30
10314700,theft from motor vehicle,2016-01-02 12:30,2016-01-03 19:15
10314704,theft from motor vehicle,2016-01-03 03:00,2016-01-03 05:00
10314708,theft from motor vehicle,2016-01-02 19:00,2016-01-03 13:00
10314709,theft from motor vehicle,2016-01-02 19:00,2016-01-03 13:00
10314732,theft of motor vehicle,2016-01-03 04:10,2016-01-03 04:28
10314739,theft from motor vehicle,2016-01-02 23:30,2016-01-03 09:30
10314748,theft from motor vehicle,2016-01-03 00:00,2016-01-03 09:30
10314753,theft from motor vehicle,2016-01-02 21:00,2016-01-03 13:00
10314772,theft from motor vehicle,2016-01-02 22:00,2016-01-03 13:00
10314773,theft of motor vehicle,2016-01-02 16:30,2016-01-03 18:30
10314780,theft from motor vehicle,2016-01-03 01:30,2016-01-03 10:00
10314781,theft from motor vehicle,2016-01-02 23:00,2016-01-03 12:30
10314804,theft of motor vehicle,2016-01-02 20:30,2016-01-03 16:30
10314813,theft from motor vehicle,2016-01-03 04:30,2016-01-03 09:30
10314814,theft of motor vehicle,2016-01-03 01:00,2016-01-03 13:00
10314817,theft from motor vehicle,2016-01-03 01:30,2016-01-03 13:00
10314821,theft of motor vehicle,2016-01-02 20:00,2016-01-03 20:00
10314822,theft from motor vehicle,2016-01-02 22:00,2016-01-03 18:00
10314823,theft from motor vehicle,2016-01-02 20:00,2016-01-03 20:00
10314833,theft of motor vehicle,2016-01-02 10:00,2016-01-04 07:00
10314844,theft from motor vehicle,2016-01-03 04:00,2016-01-03 14:00
10314845,theft from motor vehicle,2016-01-03 01:30,2016-01-03 16:30
10314850,theft of motor vehicle,2016-01-03 09:05,2016-01-03 09:15
10314852,theft from motor vehicle,2016-01-03 09:18,2016-01-03 09:20
10314855,theft from motor vehicle,2016-01-02 21:00,2016-01-03 22:00
10314881,theft from motor vehicle,2016-01-03 05:30,2016-01-03 15:30
10314907,theft from motor vehicle,2016-01-01 11:30,2016-01-05 11:00
10314919,theft of motor vehicle,2016-01-02 15:00,2016-01-04 08:00
10314930,theft of motor vehicle,2016-01-02 17:00,2016-01-04 06:30
10314939,theft from motor vehicle,2016-01-02 16:00,2016-01-04 08:00
10314967,theft from motor vehicle,2016-01-03 12:30,2016-01-03 13:00
10315011,theft of motor vehicle,2016-01-03 10:00,2016-01-03 18:00
10315027,theft of motor vehicle,2016-01-03 14:26,2016-01-03 14:31
10315029,theft from motor vehicle,2016-01-03 09:00,2016-01-03 20:00
10315068,theft from motor vehicle,2016-01-02 22:00,2016-01-04 09:00
10315079,theft of motor vehicle,2016-01-02 22:00,2016-01-04 09:30
10315080,theft of motor vehicle,2016-01-02 15:00,2016-01-04 16:30
10315131,theft from motor vehicle,2016-01-03 14:00,2016-01-03 19:30
10315173,theft from motor vehicle,2016-01-02 23:30,2016-01-04 12:00
10315188,theft from motor vehicle,2016-01-03 17:50,2016-01-03 18:00
10315212,theft from motor vehicle,2016-01-03 18:00,2016-01-03 19:00
10315214,theft of motor vehicle,2016-01-03 08:00,2016-01-04 05:00
10315237,theft from motor vehicle,2016-01-03 19:00,2016-01-03 19:01
10315377,theft from motor vehicle,2016-01-03 14:30,2016-01-04 07:00
10315383,theft from motor vehicle,2016-01-03 12:00,2016-01-04 10:00
10315397,theft from motor vehicle,2016-01-01 12:01,2016-01-06 11:00
10315406,theft from motor vehicle,2016-01-03 23:40,2016-01-03 23:45
10315408,theft from motor vehicle,2016-01-03 18:00,2016-01-04 05:30
10315422,theft of motor vehicle,2016-01-03 18:00,2016-01-04 06:00
10315423,theft from motor vehicle,2016-01-03 12:00,2016-01-04 12:00
10315424,theft from motor vehicle,2016-01-04 00:01,2016-01-04 00:03
10315438,theft from motor vehicle,2016-01-03 20:00,2016-01-04 04:30
10315440,theft from motor vehicle,2016-01-03 10:00,2016-01-04 14:30
10315447,theft from motor vehicle,2016-01-03 18:00,2016-01-04 07:00
10315456,theft from motor vehicle,2016-01-03 18:00,2016-01-04 07:30
10315458,theft from motor vehicle,2016-01-03 20:00,2016-01-04 05:40
10315466,theft from motor vehicle,2016-01-03 19:00,2016-01-04 07:00
10315472,theft from motor vehicle,2016-01-04 01:10,2016-01-04 01:15
10315476,theft of motor vehicle,2016-01-04 01:16,2016-01-04 01:42
10315478,theft from motor vehicle,2016-01-03 21:00,2016-01-04 06:00
10315481,theft from motor vehicle,2016-01-03 15:00,2016-01-04 12:00
